/* DATA DESCRIPTION:
Coverage:	MEDIAN LATITUDE: 18.368012 * MEDIAN LONGITUDE: 4.027800 * SOUTH-BOUND LATITUDE: -62.265800 * WEST-BOUND LONGITUDE: -159.088000 * NORTH-BOUND LATITUDE: 43.804700 * EAST-BOUND LONGITUDE: 74.060700
	DATE/TIME START: 2009-09-15T11:30:00 * DATE/TIME END: 2012-03-20T13:07:00
Event(s):	TARA_20090915T1130Z_004_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T11:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090915T1500Z_004_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1500Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T15:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1600Z_004_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1600Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T16:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1800Z_004_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T18:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090923T1250Z_007_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE START: 37.051000 * LONGITUDE START: 1.937800 * LATITUDE END: 37.046500 * LONGITUDE END: 1.942600 * DATE/TIME START: 2009-09-23T12:50:00 * DATE/TIME END: 2009-09-23T13:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090923T1439Z_007_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) * LATITUDE START: 37.029900 * LONGITUDE START: 1.957500 * LATITUDE END: 37.025500 * LONGITUDE END: 1.953000 * DATE/TIME START: 2009-09-23T14:39:00 * DATE/TIME END: 2009-09-23T14:58:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5 ([NET-DOUBLE-20]+[SIEVE-180]) * COMMENT: Device: material from the net was poured through a [SIEVE-180] type=metal, shape=pan, mesh size (µm)=180, diameter (cm)=30] [Curator: No EVENT Logsheet]
	TARA_20090923T1608Z_007_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE START: 37.054100 * LONGITUDE START: 1.947800 * LATITUDE END: 37.039700 * LONGITUDE END: 1.950100 * DATE/TIME START: 2009-09-23T16:08:00 * DATE/TIME END: 2009-09-23T16:55:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090923T1754Z_007_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) * LATITUDE START: 37.024200 * LONGITUDE START: 1.948600 * LATITUDE END: 37.019400 * LONGITUDE END: 1.947900 * DATE/TIME START: 2009-09-23T17:54:00 * DATE/TIME END: 2009-09-23T18:08:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30]
